Feature,Importance
ProductDensity,0.15071204993977821
Age,0.12809358457638154
CreditScore,0.09991879510888664
EstimatedSalary,0.09949003897117781
Balance,0.09496855625670247
AgeTenure,0.08290466978313975
BalanceSalaryRatio,0.08047793457215523
NumOfProducts,0.08025415049947844
Tenure,0.04499108042224055
EngagementProduct,0.041421982976290794
Geography_Germany,0.026664262948552838
IsActiveMember,0.024956282812026432
Gender_Male,0.017558256883703497
HasCrCard,0.01475784239508826
Geography_Spain,0.012830511854397614
Year,0.0
